codigo,ano,n_base,n_estrela
ARG,1990,6.9509,2.6364
ARG,1995,6.0307,2.4558
ARG,2000,4.4693,2.1141
ARG,2005,3.7164,1.9278
ARG,2010,3.5341,1.8799
ARG,2015,3.1443,1.7732
ARG,2020,1.2058,1.0981
ARG,2024,1.1339,1.0649
AUS,1990,2.0272,1.4238
AUS,1995,1.716,1.31
AUS,2000,1.8659,1.366
AUS,2005,2.1474,1.4654
AUS,2010,2.1306,1.4596
AUS,2015,1.6408,1.2809
AUS,2020,1.2665,1.1254
AUS,2024,1.1555,1.075
BRA,1990,8.4877,2.9134
BRA,1995,7.3017,2.7022
BRA,2000,5.7776,2.4037
BRA,2005,4.1463,2.0362
BRA,2010,3.1315,1.7696
BRA,2015,2.6579,1.6303
BRA,2020,1.5522,1.2459
BRA,2024,1.3761,1.1731
CHL,1990,7.8013,2.7931
CHL,1995,6.3354,2.517
CHL,2000,4.9049,2.2147
CHL,2005,3.5915,1.8951
CHL,2010,2.8673,1.6933
CHL,2015,1.9141,1.3835
CHL,2020,0.8214,0.9063
CHL,2024,0.6604,0.8126
CHN,1990,4.3511,2.0859
CHN,1995,1.6918,1.3007
CHN,2000,2.2033,1.4844
CHN,2005,2.1497,1.4662
CHN,2010,1.8062,1.3439
CHN,2015,1.2679,1.126
CHN,2020,0.7885,0.888
CHN,2024,0.3514,0.5928
COD,1990,7.0656,2.6581
COD,1995,7.555,2.7486
COD,2000,8.0793,2.8424
COD,2005,8.5108,2.9173
COD,2010,9.6477,3.1061
COD,2015,10.4669,3.2353
COD,2020,11.0524,3.3245
COD,2024,11.616,3.4082
DEU,1990,0.6074,0.7794
DEU,1995,0.5227,0.723
DEU,2000,0.7292,0.8539
DEU,2005,0.5355,0.7318
DEU,2010,0.5468,0.7395
DEU,2015,0.499,0.7064
DEU,2020,0.5684,0.7539
DEU,2024,0.397,0.6301
EGY,1990,10.7538,3.2793
EGY,1995,9.8551,3.1393
EGY,2000,10.3572,3.2183
EGY,2005,9.1438,3.0239
EGY,2010,9.1699,3.0282
EGY,2015,10.8516,3.2942
EGY,2020,6.7501,2.5981
EGY,2024,6.8241,2.6123
ETH,1990,10.4345,3.2302
ETH,1995,11.3632,3.3709
ETH,2000,11.5852,3.4037
ETH,2005,12.096,3.4779
ETH,2010,11.6134,3.4078
ETH,2015,10.3074,3.2105
ETH,2020,9.9796,3.1591
ETH,2024,8.9968,2.9995
FRA,1990,1.0129,1.0064
FRA,1995,0.9468,0.973
FRA,2000,1.3261,1.1516
FRA,2005,1.2979,1.1393
FRA,2010,1.3165,1.1474
FRA,2015,1.0121,1.006
FRA,2020,0.7163,0.8463
FRA,2024,0.5648,0.7515
GBR,1990,0.7501,0.8661
GBR,1995,0.7382,0.8592
GBR,2000,0.9258,0.9622
GBR,2005,1.0215,1.0107
GBR,2010,1.2659,1.1251
GBR,2015,0.988,0.994
GBR,2020,0.6696,0.8183
GBR,2024,0.6439,0.8025
IDN,1990,5.3579,2.3147
IDN,1995,4.2889,2.071
IDN,2000,3.3698,1.8357
IDN,2005,3.2641,1.8067
IDN,2010,3.3886,1.8408
IDN,2015,3.0963,1.7596
IDN,2020,2.0624,1.4361
IDN,2024,2.0986,1.4487
IND,1990,6.713,2.5909
IND,1995,6.2673,2.5035
IND,2000,6.0349,2.4566
IND,2005,5.1081,2.2601
IND,2010,3.962,1.9905
IND,2015,2.9538,1.7187
IND,2020,1.9939,1.4121
IND,2024,1.8702,1.3676
IRN,1990,16.6265,4.0776
IRN,1995,7.2774,2.6977
IRN,2000,4.2697,2.0663
IRN,2005,2.7715,1.6648
IRN,2010,2.2972,1.5157
IRN,2015,2.911,1.7062
IRN,2020,1.9165,1.3844
IRN,2024,2.7471,1.6574
ITA,1990,0.5204,0.7214
ITA,1995,0.35,0.5916
ITA,2000,0.3727,0.6105
ITA,2005,0.4819,0.6942
ITA,2010,0.564,0.751
ITA,2015,0.3949,0.6284
ITA,2020,0.2707,0.5203
ITA,2024,0.2444,0.4944
JPN,1990,1.5094,1.2286
JPN,1995,0.9666,0.9832
JPN,2000,0.7168,0.8466
JPN,2005,0.4589,0.6774
JPN,2010,0.3747,0.6122
JPN,2015,0.33,0.5745
JPN,2020,0.239,0.4888
JPN,2024,0.1813,0.4258
KOR,1990,3.1101,1.7635
KOR,1995,2.5988,1.6121
KOR,2000,2.1537,1.4675
KOR,2005,1.038,1.0188
KOR,2010,1.392,1.1798
KOR,2015,0.9196,0.9589
KOR,2020,0.2278,0.4773
KOR,2024,0.1344,0.3666
MAR,1990,8.9787,2.9964
MAR,1995,6.2735,2.5047
MAR,2000,4.7415,2.1775
MAR,2005,4.2322,2.0572
MAR,2010,4.1245,2.0309
MAR,2015,3.5143,1.8746
MAR,2020,2.765,1.6628
MAR,2024,2.757,1.6604
MEX,1990,12.1776,3.4896
MEX,1995,9.6549,3.1072
MEX,2000,7.7466,2.7833
MEX,2005,6.5035,2.5502
MEX,2010,5.4853,2.3421
MEX,2015,4.4979,2.1208
MEX,2020,2.4401,1.5621
MEX,2024,2.7925,1.6711
NGA,1990,8.2068,2.8648
NGA,1995,7.9312,2.8162
NGA,2000,7.8317,2.7985
NGA,2005,8.6301,2.9377
NGA,2010,9.5218,3.0857
NGA,2015,8.8353,2.9724
NGA,2020,7.0539,2.6559
NGA,2024,6.6544,2.5796
POL,1990,1.7306,1.3155
POL,1995,1.1428,1.069
POL,2000,0.7473,0.8645
POL,2005,0.5628,0.7502
POL,2010,0.5366,0.7325
POL,2015,0.4154,0.6445
POL,2020,0.3853,0.6207
POL,2024,0.3882,0.6231
RUS,1990,1.6467,1.2832
RUS,1995,0.5519,0.7429
RUS,2000,0.384,0.6197
RUS,2005,0.4803,0.693
RUS,2010,0.6673,0.8169
RUS,2015,0.8408,0.917
RUS,2020,0.5928,0.7699
RUS,2024,0.6193,0.7869
SAU,1990,43.304,6.5806
SAU,1995,36.743,6.0616
SAU,2000,27.1006,5.2058
SAU,2005,17.3394,4.1641
SAU,2010,13.7742,3.7114
SAU,2015,13.9238,3.7315
SAU,2020,9.2414,3.04
SAU,2024,9.311,3.0514
SWE,1990,0.9106,0.9542
SWE,1995,0.8184,0.9047
SWE,2000,0.6699,0.8185
SWE,2005,0.8715,0.9335
SWE,2010,1.0033,1.0017
SWE,2015,0.7241,0.8509
SWE,2020,0.7374,0.8587
SWE,2024,0.6177,0.7859
THA,1990,3.5796,1.892
THA,1995,2.3376,1.5289
THA,2000,1.6852,1.2982
THA,2005,1.4512,1.2047
THA,2010,1.2764,1.1298
THA,2015,0.9094,0.9536
THA,2020,0.4765,0.6903
THA,2024,0.3059,0.5531
USA,1990,2.176,1.4751
USA,1995,2.098,1.4484
USA,2000,3.0222,1.7384
USA,2005,2.8641,1.6924
USA,2010,2.3439,1.531
USA,2015,1.6158,1.2711
USA,2020,0.9498,0.9746
USA,2024,0.9234,0.9609
VNM,1990,8.2854,2.8784
VNM,1995,5.417,2.3274
VNM,2000,3.4466,1.8565
VNM,2005,2.9667,1.7224
VNM,2010,2.7301,1.6523
VNM,2015,2.7498,1.6583
VNM,2020,2.5059,1.583
VNM,2024,2.1883,1.4793
ZAF,1990,7.9987,2.8282
ZAF,1995,5.5221,2.3499
ZAF,2000,3.071,1.7524
ZAF,2005,2.5229,1.5883
ZAF,2010,2.6212,1.619
ZAF,2015,3.1039,1.7618
ZAF,2020,2.4909,1.5783
ZAF,2024,2.7571,1.6604
