pais_codigo,ano_2_1,p_2_1,tfr_2_1,ano_eq,p_eq,tfr_eq,p_tendencia,tfr_tendencia
ARG,2049,50.5936,2.1,2074,51.2804,2.1,45.272,1.5603
AUS,2049,28.4833,2.1,2074,28.1346,2.1,25.535,1.6336
BRA,2049,231.1838,2.1,2074,226.7914,2.1,200.2735,1.5742
CHL,2049,20.8316,2.1,2074,19.59,2.1,16.3752,1.3415
CHN,2049,1364.2194,2.1,2074,1153.6238,2.1,964.2258,1.2791
COD,2049,191.3518,2.1,2074,259.9021,2.1,337.9026,2.6492
DEU,2049,76.56,2.1,2074,68.128,2.1,60.9313,1.5698
EGY,2049,159.9661,2.1,2074,191.69,2.1,192.0005,1.9798
ETH,2049,213.1186,2.1,2074,279.1882,2.1,293.5046,2.1013
FRA,2049,66.7093,2.1,2074,64.1466,2.1,58.3764,1.6514
GBR,2049,69.2125,2.1,2074,66.2213,2.1,58.8579,1.5744
IDN,2049,331.2155,2.1,2074,348.1976,2.1,323.5276,1.771
IND,2049,1749.6324,2.1,2074,1870.0157,2.1,1711.8219,1.7142
IRN,2049,106.4675,2.1,2074,107.2037,2.1,96.3257,1.6337
ITA,2049,52.9306,2.1,2074,43.6352,2.1,37.8272,1.4223
JPN,2049,106.2221,2.1,2074,89.4081,2.1,77.7503,1.431
KOR,2049,47.6433,2.1,2074,36.776,2.1,30.2546,1.1856
MAR,2049,46.9786,2.1,2074,51.499,2.1,48.0983,1.7795
MEX,2049,158.1462,2.1,2074,169.2604,2.1,153.0094,1.6761
NGA,2049,341.0297,2.1,2074,397.271,2.1,427.4452,2.1459
POL,2049,35.6307,2.1,2074,31.1406,2.1,26.9882,1.4499
RUS,2049,132.3689,2.1,2074,119.5884,2.1,105.684,1.5748
SAU,2049,44.1605,2.1,2074,48.0055,2.1,45.0322,1.7564
SWE,2049,10.5467,2.1,2074,10.0485,2.1,8.9536,1.565
THA,2049,68.8966,2.1,2074,59.6309,2.1,50.3798,1.3785
USA,2049,352.298,2.1,2074,342.3038,2.1,310.1202,1.641
VNM,2049,115.2169,2.1,2074,116.4678,2.1,106.5242,1.7168
ZAF,2049,74.9042,2.1,2074,79.2515,2.1,73.9932,1.7843
