pais_codigo,ano,pop_total,pop_base,pop_topo,nascimentos,mortes,tfr
ARG,1999,36.7947,15.0418,4.8517,0.7228,0.2788,2.643
ARG,2024,45.6962,14.8084,7.6985,0.5066,0.3533,1.5043
AUS,1999,18.91,5.7698,3.0858,0.2491,0.1285,1.764
AUS,2024,26.7132,7.0108,6.2667,0.305,0.18,1.6379
BRA,1999,171.6415,76.8268,14.0894,3.5325,1.0817,2.3353
BRA,2024,211.9986,62.7004,36.493,2.5721,1.4984,1.6143
CHL,1999,15.3193,5.9787,1.7137,0.2551,0.0772,2.0738
CHL,2024,19.7648,5.0713,3.8714,0.1724,0.13,1.1396
CHN,1999,1260.1766,458.746,134.348,16.8629,7.6663,1.5302
CHN,2024,1419.3213,341.5842,314.6897,8.8221,11.6783,1.013
COD,1999,48.913,25.3238,5.635,2.2122,0.7619,6.6924
COD,2024,109.2763,57.4183,11.8572,4.4677,0.9205,5.981
DEU,1999,81.6783,21.0304,16.2464,0.7704,0.8495,1.3704
DEU,2024,84.5522,18.9171,23.4489,0.7173,1.0409,1.4481
EGY,1999,71.521,34.5129,5.598,1.995,0.4603,3.5991
EGY,2024,116.5383,48.0379,13.0227,2.4374,0.6416,2.7351
ETH,1999,65.3746,36.2881,5.1719,3.0329,1.022,6.7211
ETH,2024,132.0598,63.3715,12.3541,4.1558,0.7764,3.9094
FRA,1999,59.0842,16.6678,12.1091,0.7505,0.54,1.7927
FRA,2024,66.5485,16.7524,18.9137,0.636,0.6218,1.636
GBR,1999,58.8387,16.3844,12.2409,0.7038,0.6408,1.682
GBR,2024,69.1382,17.5345,17.6437,0.6839,0.6707,1.5511
IDN,1999,213.0047,84.3239,23.4806,4.7308,1.5938,2.5678
IDN,2024,283.4879,88.5342,47.4875,4.4683,2.1613,2.1147
IND,1999,1038.2258,459.6892,98.6339,28.7903,9.1415,3.3831
IND,2024,1450.9358,458.8327,220.3331,23.187,9.557,1.9622
IRN,1999,65.4454,31.8667,5.064,1.0517,0.3285,2.0893
IRN,2024,91.5677,26.9039,13.6851,1.1511,0.4353,1.6842
ITA,1999,57.2408,13.4954,12.9036,0.536,0.5662,1.2279
ITA,2024,59.3429,11.7533,18.0793,0.3847,0.6645,1.2058
JPN,1999,126.8016,34.8565,24.5048,1.1834,1.0138,1.3397
JPN,2024,123.753,25.8982,39.8388,0.7506,1.5402,1.2168
KOR,1999,46.5004,15.4859,4.8906,0.6077,0.2428,1.4694
KOR,2024,51.7176,8.775,14.1792,0.241,0.3579,0.7338
MAR,1999,28.0272,12.2231,2.5851,0.6564,0.1833,2.8824
MAR,2024,38.0812,12.3421,6.5118,0.6246,0.218,2.2078
MEX,1999,97.1157,45.7948,7.9068,2.3929,0.5335,2.763
MEX,2024,130.861,45.4488,18.3395,2.0236,0.8138,1.8916
NGA,1999,123.0473,64.7224,11.1128,5.3461,2.1907,6.0819
NGA,2024,232.6795,116.6132,20.7559,7.5604,2.7085,4.3818
POL,1999,38.2877,11.6709,6.6817,0.3779,0.3748,1.3773
POL,2024,38.5392,8.0634,10.5622,0.3096,0.4166,1.3035
RUS,1999,147.242,45.9808,24.6112,1.2512,2.2074,1.1831
RUS,2024,144.8204,37.4157,32.8545,1.2704,1.8626,1.457
SAU,1999,15.4721,7.5471,0.7541,0.4416,0.0515,4.3539
SAU,2024,33.9628,10.5252,2.4004,0.5602,0.0794,2.3079
SWE,1999,8.8577,2.3495,1.9595,0.0881,0.0948,1.5012
SWE,2024,10.607,2.6621,2.8012,0.0975,0.0958,1.4342
THA,1999,62.299,21.0264,7.4552,0.971,0.3929,1.7679
THA,2024,71.668,14.8623,19.9101,0.5816,0.6473,1.2035
USA,1999,278.7855,94.6028,40.2882,3.8729,2.413,1.9904
USA,2024,345.4266,100.7117,74.9012,3.6544,3.0466,1.6221
VNM,1999,76.2875,33.1631,7.6101,1.342,0.4165,1.9988
VNM,2024,100.9877,30.7644,18.4057,1.3556,0.6711,1.895
ZAF,1999,46.7303,21.9243,4.1909,1.0608,0.4661,2.5592
ZAF,2024,64.0072,21.9236,8.4871,1.1829,0.5912,2.205
