pais_codigo,ano,pop_total,pop_base,pop_topo,nascimentos,mortes,tfr
ARG,1965,22.1126,,,0.5,0.1953,3.0053
ARG,1970,23.8783,,,0.5577,0.2186,3.0848
ARG,1975,25.8741,,,0.645,0.2354,3.2706
ARG,1980,28.0116,,,0.6924,0.2487,3.3013
ARG,1985,30.3364,,,0.684,0.2551,3.0661
ARG,1990,32.7559,13.8225,4.0888,0.7232,0.2565,3.0342
ARG,1995,35.07,14.6872,4.5248,0.7348,0.2652,2.8638
ARG,1999,36.7947,,,0.7228,0.2788,2.643
ARG,2000,37.214,15.0908,4.9327,0.7193,0.2817,2.5906
ARG,2005,39.2168,15.2469,5.3961,0.7179,0.2897,2.4259
ARG,2010,41.2887,15.5095,5.9866,0.7561,0.3148,2.4109
ARG,2015,43.477,15.749,6.6427,0.768,0.3239,2.3496
ARG,2020,45.192,15.5811,7.2834,0.5332,0.3819,1.6006
ARG,2024,45.6962,14.8084,7.6985,0.5066,0.3533,1.5043
AUS,1965,11.3575,,,0.2208,0.0991,2.9792
AUS,1970,12.5994,,,0.2571,0.1117,2.8596
AUS,1975,13.894,,,0.2389,0.1077,2.2075
AUS,1980,14.7213,,,0.2258,0.1076,1.9007
AUS,1985,15.8357,,,0.2443,0.1174,1.8991
AUS,1990,17.1263,5.7406,2.6333,0.2632,0.119,1.908
AUS,1995,18.0953,5.718,2.8543,0.2562,0.1253,1.8248
AUS,1999,18.91,,,0.2491,0.1285,1.764
AUS,2000,19.1325,5.8107,3.1558,0.2495,0.1292,1.7645
AUS,2005,20.2945,5.9715,3.5555,0.265,0.1324,1.8495
AUS,2010,22.1416,6.3251,4.1951,0.3015,0.1437,1.9483
AUS,2015,23.948,6.6601,4.8586,0.3055,0.1583,1.8026
AUS,2020,25.7438,6.9292,5.6503,0.2952,0.1638,1.5928
AUS,2024,26.7132,7.0108,6.2667,0.305,0.18,1.6379
BRA,1965,83.8176,,,3.3396,1.0032,5.6774
BRA,1970,95.3757,,,3.3602,0.9981,4.9345
BRA,1975,107.6196,,,3.6035,1.0184,4.4152
BRA,1980,121.2075,,,3.9292,1.0414,4.0373
BRA,1985,135.5156,,,3.9548,1.0419,3.4804
BRA,1990,149.1432,73.5526,10.5921,3.6936,1.0406,2.8964
BRA,1995,161.7351,75.871,12.4322,3.6039,1.0577,2.567
BRA,1999,171.6415,,,3.5325,1.0817,2.3353
BRA,2000,174.0183,76.8201,14.534,3.4592,1.0872,2.2472
BRA,2005,184.6881,74.9103,17.0911,3.1723,1.0889,1.9422
BRA,2010,193.7019,71.6132,20.9396,2.971,1.1237,1.7857
BRA,2015,201.6755,68.7714,26.0265,2.9614,1.2192,1.777
BRA,2020,208.6608,65.7136,31.8725,2.7115,1.5653,1.6528
BRA,2024,211.9986,62.7004,36.493,2.5721,1.4984,1.6143
CHL,1965,9.0129,,,0.2917,0.0884,4.3637
CHL,1970,9.8453,,,0.2833,0.0828,3.7777
CHL,1975,10.6716,,,0.2719,0.075,3.1818
CHL,1980,11.5086,,,0.2674,0.0691,2.744
CHL,1985,12.3953,,,0.2789,0.07,2.5917
CHL,1990,13.4372,5.7683,1.2751,0.2974,0.0705,2.5787
CHL,1995,14.5274,5.9242,1.5219,0.2829,0.0749,2.3531
CHL,1999,15.3193,,,0.2551,0.0772,2.0738
CHL,2000,15.5036,5.977,1.7647,0.253,0.0777,2.0456
CHL,2005,16.3488,5.888,2.0494,0.2326,0.0856,1.8248
CHL,2010,17.1815,5.7163,2.4236,0.2445,0.099,1.8441
CHL,2015,18.0476,5.5002,2.8839,0.2373,0.1102,1.7373
CHL,2020,19.3706,5.3801,3.4375,0.1956,0.1432,1.307
CHL,2024,19.7648,5.0713,3.8714,0.1724,0.13,1.1396
CHN,1965,723.4157,,,30.0642,10.677,6.605
CHN,1970,823.309,,,31.4618,9.8176,6.085
CHN,1975,916.1168,,,23.0997,8.2409,3.571
CHN,1980,983.1635,,,21.6744,7.5071,2.739
CHN,1985,1059.8078,,,24.1363,7.5411,2.633
CHN,1990,1153.5827,509.5052,101.5868,28.0791,7.9751,2.514
CHN,1995,1220.1339,477.2614,120.0151,19.0034,7.5488,1.5885
CHN,1999,1260.1767,,,16.8629,7.6663,1.5302
CHN,2000,1269.5812,456.5106,137.9542,17.5512,7.7801,1.6281
CHN,2005,1310.0271,432.8369,156.1828,16.6027,8.2147,1.6238
CHN,2010,1351.5615,400.712,187.4944,17.9124,8.7888,1.6865
CHN,2015,1396.1342,376.2347,234.704,17.5182,9.5219,1.6696
CHN,2020,1426.1061,368.0942,267.4301,11.8435,10.4114,1.2357
CHN,2024,1419.3213,341.5842,314.6897,8.8221,11.6783,1.013
COD,1965,17.4278,,,0.8322,0.4032,6.2103
COD,1970,20.1374,,,0.9579,0.4246,6.3291
COD,1975,23.0211,,,1.0673,0.4587,6.4192
COD,1980,26.7111,,,1.2312,0.5071,6.4948
COD,1985,31.2648,,,1.4538,0.5682,6.6116
COD,1990,36.6841,18.5376,4.2247,1.682,0.6185,6.6494
COD,1995,44.4337,22.2194,5.1256,2.0975,0.702,6.6756
COD,1999,48.913,,,2.2122,0.7619,6.6924
COD,2000,50.5074,26.2014,5.8015,2.2879,0.7384,6.7018
COD,2005,58.7757,30.7241,6.6977,2.5701,0.7698,6.5264
COD,2010,68.563,36.0772,7.7646,3.0113,0.799,6.5868
COD,2015,81.0355,42.5294,9.0872,3.5037,0.8387,6.437
COD,2020,95.99,50.3543,10.6135,4.0498,0.8937,6.2057
COD,2024,109.2763,57.4183,11.8572,4.4677,0.9205,5.981
DEU,1965,75.967,,,1.3138,0.902,2.4875
DEU,1970,78.2051,,,1.0455,0.9758,2.0242
DEU,1975,78.7019,,,0.7807,0.9908,1.4772
DEU,1980,78.3154,,,0.8594,0.9532,1.5564
DEU,1985,77.8634,,,0.8149,0.9317,1.378
DEU,1990,79.708,22.3935,14.3779,0.9075,0.9233,1.4605
DEU,1995,82.0199,21.4618,15.1136,0.776,0.8882,1.2618
DEU,1999,81.6783,,,0.7704,0.8495,1.3704
DEU,2000,81.7973,21.0621,16.645,0.7652,0.8421,1.3862
DEU,2005,82.0467,20.5587,18.5908,0.6922,0.8345,1.3445
